text,label,target,gold_exp,pred_exp,similarity,originality,context,keep_hate,mean similarity,std similarity,mean originality,std originality,mean context,std context,sum_keep_hate
: survey finds 70 percent support for deporting illegal immigrants #afire #tcot #teaparty ...,hateful,immigrants,The message is hateful against immigrants because it implies that immigrants should be deported.,"This message is simply stating a statistic from a survey and using relevant hashtags. There's no explicit or implicit hate, discrimination, or bias against any individual or group.",,,,0,,,,,,,
"  "" jewish "" "" bolsheviks are a clever bunch . "" "" zionists "" "" . "" "" neo cons "" "" . they own our media . """,hateful,Jewish people,The message is hateful towards Jewish people because it implies that Jewish people control the media.,"The message generalizes and stereotypes different groups, creating a negative depiction of them. It implies that these groups are manipulative and controlling, particularly with the statement ""they own our media"", which can be seen as spreading hate and misinformation.",3,4,1,1,,,,,,,
my city is gone . the suburbs have started to go . we moved to the next county . obama forced . diversifying our schools . people didn't listen,hateful,Minorities,The message is hateful against minorities because it implies that minorities are taking over.,"The message expresses dissatisfaction and resentment, possibly related to political decisions and social changes. However, it does not contain explicit hate speech or direct offensive language towards a specific individual or group.",,,,0,,,,,,,
enforce immigration laws or become 'a third-world nation' - via,hateful,immigrants,The message is hateful against immigrants because it implies that immigrants worsen countries.,"The message is expressing a political opinion about immigration laws. It does not contain any explicit or implicit hate speech, discrimination, or offensive language towards a specific individual or group.",,,,0,,,,,,,
europe is in a state of silent  undeclared war against its own indigenous #whitepeople . wake up white people !,hateful,White people,The message is hateful towards White people because it implies that White people are at war with other races.,"The message is considered hateful as it promotes a harmful stereotype and conspiracy theory against white people and indigenous Europeans, suggesting that they are under attack. It uses a divisive language that can incite fear and hatred.",3,3,0,1,,,,,,,
i'm waiting for the left to call that killer in virginia a racist because he was . he killed two whites simply because they were white .,hateful,Leftists,The message is hateful towards Leftists because it implies that Leftists believe everyone is racist.,"This statement is expressing an opinion about a potential reaction to a tragic event. While it may be perceived as controversial or insensitive, it doesn't explicitly express hate, discrimination or violence towards a specific group based on their race, religion, ethnicity, or other protected characteristics.",,,,0,,,,,,,
white lives are important !,hateful,white people,The message is hateful towards white people because it implies that white people are superior.,"The statement is asserting the importance of white lives, which in itself is not hateful. It does not degrade, insult, or express prejudice towards any other racial or ethnic group. However, it's worth noting that the context in which it is used could potentially change this interpretation.",,,,0,,,,,,,
make america white again : saturdays nationalist unity gathering | traditionalist youth network,hateful,white people,The message is hateful towards white people because it implies that white people are superior.,"The phrase ""make America white again"" is a clear display of racial hate. It suggests that America should be exclusively for white people, which is a discriminatory and harmful sentiment towards non-white Americans. The reference to a 'nationalist unity gathering' further indicates an exclusionary and harmful ideology.",3,3,1,1,,,,,,,
i agree . we need to understand islamic ideology and the threat it poses .,hateful,Muslims,The message is hateful against Muslims because it implies that Muslims are a threat to society.,"The message is expressing an opinion about understanding Islamic ideology and the threat the user perceives it poses. While it may be controversial or offensive to some, it does not directly attack, degrade or insult anyone. It is important to differentiate between hate speech and freedom of speech.",,,,0,,,,,,,
remember goys  making disparaging remarks about poor less educated whites is always ok,hateful,white people,The message is hateful towards white people because it implies that white people are poor and uneducated.,"The message is promoting negative stereotypes and encouraging disparaging remarks towards a specific group of people, in this case, poor less educated whites, which is a form of hate speech.",3,3,1,1,,,,,,,
we really dont care about offending you fools..just stay there an slaughter eachother.fuqin animals,hateful,Immigrants,The message is hateful towards immigrants because it implies that immigrants should die.,"The message is labeled as hateful because it uses derogatory language and expresses a strong negative sentiment towards an unspecified group of individuals. It promotes violence and dehumanizes them by referring to them as ""animals"".",3,3,0,1,,,,,,,
1 godfather of alt-right / white nationalists ~ jared taylor concured w / controversial book the bell curve findings on iq & race,hateful,non-white people,The message is hateful towards non-white people because it implies that they have low IQs.,"The message seems to be stating a fact or opinion about Jared Taylor and his agreement with the controversial book 'The Bell Curve'. It does not express hate, threat, or prejudice towards any individual or group. It is important to note that the content might be controversial or offensive to some, but the message itself does not convey hate.",,,,0,,,,,,,
charlottesville was our beer hall putsch . now we draw the left so far our the normies will vote for us .,hateful,Leftists,The message is hateful towards Leftists because it implies that Leftists are gullible.,"The message is considered hateful as it uses a historical event, the Beer Hall Putsch, which was a failed coup attempt by Adolf Hitler and his Nazi Party, to incite violence and division. The sentence also implies that the ""normies"" (average people) will be manipulated into voting for their cause, which can be seen as a form of dehumanization or belittlement.",2,5,1,1,,,,,,,
this is so ridiculous .. over 100 years ago ! ! blacks sold one another to whites  it was wro,hateful,Blacks,The message is hateful towards Blacks because it implies that Blacks are hypocrites.,"The message is considered hateful as it uses a derogatory and offensive tone when referring to a specific racial group (Blacks). It also inaccurately generalizes and blames the entire race for the historical occurrence of slave trading, which is a sensitive and complex issue.",2,4,1,1,,,,,,,
what about white americans ? oh wait  that's * white supremacy * to talk about white interests ?,hateful,Minorities,The message is hateful against minorities because it implies that minorities have double standards for whites.,"The message is more of a critique or sarcastic comment about the perceived double standards in discussions about racial interests. It does not express hate, derogatory language, or harmful intent towards a specific group.",,,,0,,,,,,,
"  "" diverse "" "" britain : black gangs to be rewarded with free barbecues and sports events | more : """,hateful,Blacks,The message is hateful towards Blacks because it implies that Blacks are given special privileges.,"The message is reporting on a policy or initiative, it does not seem to express hate, prejudice or resentment towards any particular group. It might be controversial and subject to different interpretations, but it doesn't contain explicit hate speech.",,,,0,,,,,,,
trump / taylor 2016 : let's make america hwhite again !,hateful,Minorities,The message is hateful towards minorities because it implies that minorities are substandard.,"The message is considered hateful as it uses a play on words to imply a racial preference (""hwhite"" instead of ""white""), suggesting a desire for a racially homogeneous America. This promotes discrimination and exclusion based on race or ethnicity, which is considered hate speech.",3,4,1,1,,,,,,,
the french are not white ? :d have you ever seen a french ? !,hateful,French people,The message is hateful towards French people because it implies that French people are not white.,"The message is a question about whether French people are considered white, followed by a joking emoticon. It doesn't seem to contain any hate speech, derogatory terms, threats, or insults. It appears to be a playful or sarcastic comment rather than a hateful one.",,,,0,,,,,,,
: sen rejects o .. claim that legalizing illegal immigrants will help economy #illegalimmigration,hateful,Illegals,The message is hateful against Illegals because it implies that Illegals do not contribute to society.,"The message is not hateful. It is a political statement about a senator rejecting a claim regarding illegal immigration and its impact on the economy. There is no derogatory or offensive language used, and no group or individual is being targeted or insulted.",,,,0,,,,,,,
mixing of white and non-white is wrong nothing good comes out of it !,hateful,Multiracials,The message is hateful against Multiracials because it implies that Multiracials are abnormal people.,"The message is considered hateful as it promotes racial discrimination and the idea of racial purity, suggesting that the mixing of white and non-white races is wrong and harmful. This statement is prejudiced, harmful, and offensive to people of different racial backgrounds.",3,3,1,1,,,,,,,
a future for white kids .,hateful,Minorities,The message is hateful against minorities because it implies that minorities are inferior to whites.,"The message talks about a future for white kids, which is not offensive or derogatory towards any particular group or individual. It doesn't express any hate or prejudice.",,,,0,,,,,,,
everything is racist if a white person says or does it . but yes  the koran is religiously & culturally racist,hateful,Muslims,The message is hateful towards Muslims because it implies that Muslims are prejudiced.,"The message is considered hateful as it generalizes all white people as being racist, regardless of their actions or words. It also labels the Koran, a religious text, as being inherently racist, which is a broad and harmful stereotype about a specific religion. Such generalizations and stereotypes promote division and hatred.",3,4,1,1,,,,,,,
white revolution is the only solution,hateful,white people,The message is hateful towards white people because it implies that white people are superior to other races.,"The statement ""white revolution is the only solution"" is hateful because it implies superiority of one race (white) over others, suggesting a need for a revolution or drastic change to enforce this. This can be seen as promoting racial discrimination or racial supremacy, which is considered hate speech. However, the target of the hate is not explicitly mentioned in the message.",3,4,0,1,,,,,,,
indian intellectuals bemoan everything . they are like rudali-s  professional mourners ; these intellectuals mourn all the time . 3 / n,hateful,Indian people,The message is hateful towards Indian people because it implies that Indian people complain excessively.,"The message is expressing a critical opinion about Indian intellectuals, comparing them to professional mourners due to what the author perceives as constant complaining. While the message is negative and stereotyping, it does not express hate, threat, or incite violence towards a particular group. It is important to note that expressing a negative opinion or criticism does not necessarily equate to hate speech.",,,,0,,,,,,,
find a white wife . be a red-piller  not an oil-driller .,hateful,Minorities,The message is hateful towards minorities because it implies that minorities are inferior people.,"The message is hateful as it promotes racial discrimination and sexism. It suggests that marrying a white woman is superior to being involved with a woman of color (oil-driller is a derogatory term for those who date black women). It also objectifies women by reducing them to their race and suggesting they are something to be 'found' or 'obtained', rather than equal partners.",3,4,1,1,,,,,,,
: highest probable suspect i'd say is another deranged white bernie bro / communist . another killer b,hateful,White liberals,The message is hateful towards White liberals because it implies that White liberals are criminals and crazy.,"The message is hateful as it makes a derogatory assumption about a specific group of people, in this case, white Bernie supporters and communists, by labeling them as 'deranged' and potential 'killers'. This promotes a negative stereotype and incites hate towards these groups.",3,3,1,1,,,,,,,
" rt : all the anti white whites will be caught between their coloured  "" allies "" "" and pro white  whites . """,hateful,Democrats,The message is hateful towards Democrats because it implies that Democrats are anti-white.,"The message is considered hateful as it uses derogatory language and creates a divisive narrative among different racial groups, specifically targeting the white population. It implies a negative portrayal of white individuals who support racial equality, and also portrays ""pro white whites"" in a confrontational manner.",2,3,1,1,,,,,,,
its time we make a serious push for the ethnostate . if we could get 30-40 million whites to wake up it could happen,hateful,white people,The message is hateful towards white people because it implies that white people need to increase in number.,"The message is promoting the idea of an ethnostate, which is a political unit that is populated by and run in the interest of a particular ethnic group. This idea inherently excludes and marginalizes non-members of that ethnic group, in this case, non-whites. The phrase ""wake up"" suggests that those who do not support this idea are ignorant or misguided, further promoting division and hostility.",3,3,1,1,,,,,,,
" rt :  "" white privilege conference "" "" says resisting jihad is racist  bashes robert spencer and pamela gell """,hateful,Liberals,The message is hateful towards Liberals because it implies that Liberals mischaracterize whites.,"The message is reporting on a conference and the views expressed there. It does not contain any explicit hate speech, slurs, or derogatory language towards any particular group or individual.",,,,0,,,,,,,
what is #hatespeech ? homosexuals & jews relentlessly smear christians & white males.why isn't that hate speech ?,hateful,whites,The message is hateful towards whites because it implies that whites are associated with hate speech.,"The message is considered hateful because it generalizes and stereotypes multiple groups of people negatively. It accuses homosexuals and Jews of relentlessly smearing Christians and white males, which promotes divisiveness and hostility. It also implies that Christians and white males are victims of hate speech, without providing any context or evidence. This kind of broad, negative characterization of entire groups is a form of hate speech.",2,4,1,1,,,,,,,
black lives matters is run by lesbians !,hateful,Gays,The message is hateful against Gays because it implies that Gays are abnormal.,"The message is considered hateful as it is attempting to discredit the Black Lives Matter movement by associating it with a specific sexual orientation in a negative context. This message is spreading hate against the movement and against lesbians, implying that being run by lesbians is a negative thing.",2,4,1,1,,,,,,,
how dare people of european decent want their civilisation to live on & flourish ! ! so unreasonable !,hateful,Minorities,The message is hateful against minorities because it implies that minorities are hypocrites.,"The message seems to be expressing a frustration or sarcasm rather than hate. It does not degrade, dehumanize, or demonstrate prejudice towards any specific group of people.",,,,0,,,,,,,
muslim refugees  thats what happened . dirty pigs ..,hateful,Muslim refugees,The message is hateful against Muslim refugees because it implies that Muslim refugees degrade society.,"The message is hateful as it uses derogatory language (""dirty pigs"") to refer to a specific group of people (""Muslim refugees""), thus promoting hate speech and discrimination.",2,3,0,1,,,,,,,
"- there is no accountability system, thats why its a swamp",hateful,Immigrants,The message is hateful towards immigrants because it implies that immigrants should be punished.,"The sentence is expressing a criticism or opinion about a system or situation, referring to it as a 'swamp' due to the perceived lack of accountability. It does not target or degrade any individual, group or community, hence it is not hateful.",,,,0,,,,,,,
mexicans have such strong family values and ' natural conservatism ' that when they replace us the abortion issue will be solved !,hateful,Mexicans,The message is hateful towards Mexicans because it implies that Mexicans are morally weak.,"The message is considered hateful because it stereotypes a particular ethnic group, Mexicans, by suggesting they will ""replace us"". It also makes a sweeping assumption about their political and social views. This message is offensive and disrespectful, promoting division and hostility.",3,3,1,1,,,,,,,
funny how tolerating black crime is key to keep black politicians in power ; safe streets would bring whites back  and they'd want good govt .,hateful,white people,The message is hateful against white people because it implies that white people are the only ones capable of keeping the streets safe.,"The message is hateful as it generalizes black crime and black politicians, implying that they are inherently linked. It also suggests that black politicians are in power only because of crime, and that whites inherently provide better governance. The message perpetuates harmful stereotypes and racial bias.",3,4,1,1,,,,,,,
fuhrer was a genius ; see his analysis : adolf #hitler explains,hateful,Minorities,The message is hateful against minorities because it implies that minorities are subhuman.,"This sentence is not hateful. It refers to Adolf Hitler and describes him as a genius, which could be seen as controversial due to Hitler's actions during his reign. However, it does not express hate towards any individual or group.",,,,0,,,,,,,
sure ! whatever whitey !,hateful,Whites,The message is hateful towards Whites because it implies that Whites are separatists.,"The sentence is considered hateful as it uses a derogatory term ""whitey"" to refer to white people, which is disrespectful and offensive.",3,3,0,1,,,,,,,
"does importing mo'nurses create high paying jobs 4 usa citizens/youth~ schumer, cornyn push """"high skill"""" #immigration bill",hateful,immigrants,The message is hateful against immigrants because it implies that immigrants are stealing jobs from Americans.,"The message is discussing a political topic, specifically the potential impact of immigration policy on job creation. It does not express hate, discrimination, or prejudice towards any particular group or individual.",,,,,,,,,,,
and germany is beating sweden in the race for white survival ! !,hateful,white people,The message is hateful towards white people because it implies that white people are struggling to survive.,"The message is hateful as it implies a negative comparison between Germany and Sweden in terms of 'white survival', which is a racially charged term. This kind of language can promote division and hostility based on race or ethnicity.",3,3,1,1,,,,,,,
" needs 2b noted in2011  "" christian "" "" hategroup encouraged isis / alqaeda / taliban anti - #lgbt attacks #familyvalues #religiousliberty """,hateful,Christians,The message is hateful towards Christians because it implies that Christians are part of hate groups.,"The message is expressing a critique towards a certain group's actions, specifically a ""hate group"" promoting anti-LGBT attacks. It does not express hate or offensive language towards any individual or group, but rather condemns a certain behavior.",,,,0,,,,,,,
america hates you kkkliven bundy gun humpers :) keep making the wrinkly white wing of gop trailer trash whiter & wrinklier,hateful,White conservatives,The message is hateful towards White conservatives because it implies that White conservatives are low class.,"The message is hateful as it uses derogatory language to insult and belittle a specific group of people based on their political beliefs, race, and association. It includes racial slurs and stereotypes, which are forms of hate speech.",2,3,0,1,,,,,,,
no . white pride isn't made up . white privilege is made up .,hateful,white people,The message is hateful towards white people because it implies that white people have no privileges.,"The message is expressing an opinion on two concepts - 'white pride' and 'white privilege'. It does not contain any explicit hate or derogatory language towards any particular group or individual. It is important to note that while the message may be controversial or disagreeable to some, it does not meet the criteria for being classified as hateful.",,,,0,,,,,,,
: has been proven right yet again ! for many years #davidduke has been warning people about #hollyweird etc .,hateful,white people,The message is hateful towards white people because it implies that white people in Hollywood do not like people.,"The message is not hateful. It is expressing an opinion about a person (David Duke) who has been proven right, according to the author. The hashtags used are critical of Hollywood, but they do not target a specific group or individual with hate or discrimination.",,,,0,,,,,,,
"dude looks like a lesbian butch, how do we know that's a man?--&gt;",hateful,lesbian,The message is hateful against lesbians because it implies that lesbians look ugly.,"The message is hateful as it uses derogatory language to stereotype and belittle a particular group of people, in this case, lesbians and butch individuals. It uses these identities as an insult, which is disrespectful and offensive.",3,3,0,1,,,,,,,
2016 white privilege conference : contextualizing jewish steered climate of anti-white terror,hateful,Jewish people,The message is hateful towards Jewish people because it implies that Jewish people are anti-white.,"This message is hateful as it implies that Jewish people are orchestrating a climate of anti-white terror, which is a harmful stereotype. This type of language can incite hatred and misunderstanding.",3,3,0,1,,,,,,,
behind mongrelization of white,hateful,non-white people,The message is hateful against non-white people because it implies that non-white people dilute the gene pool.,"The message is hateful as it uses the term ""mongrelization"", a derogatory term that refers to the mixing of races, specifically targeting white people. This term is offensive and promotes racial discrimination, hence categorizing the message as hateful.",3,3,1,1,,,,,,,
".the ships were sabotaged by your sorry ass government..foreign matter into the fuel, etc",hateful,Immigrants,The message is hateful against immigrants because it implies that immigrants are corrupt.,"The message is labeled as hateful because it uses derogatory language (""sorry ass"") to express strong disapproval and hostility towards the target, which in this case is the government. It implies that the government is to blame for the sabotage of the ships.",3,3,1,1,,,,,,,
"she didn't mean it. if she meant it, she'd have invited you over, given you a house and made the uk taxpayer fund your life.",hateful,Immigrants,The message is hateful against immigrants because it implies that immigrants are ungrateful since taxpayers fund their lives.,"The message is expressing a personal opinion about a situation, and does not exhibit any form of hate, discrimination, or harm towards any individual or group. It does not use any offensive or derogatory language.",,,,0,,,,,,,
never seen nyt going into an outburst  when hindus are being targeted on a regular basis in malabar  kashmir,hateful,Hindus,The message is hateful towards Hindus because it implies that Hindus are in danger.,"The message is expressing dissatisfaction with the perceived lack of coverage by The New York Times on issues affecting Hindus in specific regions. While it criticizes a media outlet, it does not promote hate or violence against any group.",,,,0,,,,,,,
credibility of white race will be lost if they resort 2 lies & cheating on taliban & isis,hateful,white people,The message is hateful towards white people because it implies that white people are liars.,"The message is hateful as it generalizes and targets the entire white race, suggesting that their credibility is based on their actions towards the Taliban and ISIS. This statement promotes stereotypes and negativity towards a specific racial group, which is considered hate speech.",2,3,1,1,,,,,,,
" rt  "" it is about race . it is about race . "" "" the independent report is false because the researchers are too white . """,hateful,Whites,The message is hateful towards Whites because it implies that Whites are prejudiced.,"The message does not contain any explicit or implicit hate speech, threats, or derogatory terms towards any individual or group. It seems to be a critique or opinion about the racial composition of a research team and their report. However, it is important to note that while this message could potentially be seen as controversial or offensive to some, it does not meet the criteria for being classified as hate speech.",,,,0,,,,,,,
"neanderthals were way ahead of negroes. whites carry many neanderthal genes. blacks, none.",hateful,Black people,The message is hateful towards Black people because it implies that Black people are primitive.,"The message is hateful because it uses a derogatory term to refer to Black people and makes a false and derogatory claim about their genetic heritage. The message is designed to demean and belittle them, which is a clear indication of hate speech.",3,3,0,1,,,,,,,
" good question ! once again -  "" small number of individuals "" "" phoenix  antifa used tear gas - boston  bottles """,hateful,Leftists,The message is hateful towards Leftists because it implies that Leftists are violent.,"The message is not hateful. It seems to be discussing an event or incident involving the Phoenix Antifa and Boston bottles. While it might be seen as negative or critical, it does not express hate towards a specific group or individual.",,,,0,,,,,,,
frightened aren't you  it won't be long before whitey is walking thru the slums  hoping and preying for a white victory,hateful,Minorities,The message is hateful against minorities because it implies that minorities are destructive.,"The message is considered hateful because it uses derogatory language (""whitey"") to refer to white people and implies a negative future for them. It also mentions a 'white victory' in a threatening context, which further promotes division and hostility.",2,3,0,1,,,,,,,
"you must be the arithmetic man; you add trouble, subtract pleasure, divide attention, and multiply ignorance.",hateful,Immigrants,The message is hateful against immigrants because it implies that immigrants are ignorant.,"The statement is a critique or insult aimed at an individual, but it doesn't express hate or incite violence. It does not target someone based on their race, religion, ethnic origin, sexual orientation, disability, or gender.",,,,0,,,,,,,
